Usia,Domisili,Nama Program,Harga Kelas,Kategori,Sub Kategori  1 (Tujuan),Sub Kategori 2 (Minat lain),Sub Kategori 3 (Minat lain),Sub Kategori 4 (Minat lain),Usia_Clean,Age_Group,Region,Price_Segment,Kategori_encoded,Region_encoded,Sub1_encoded,Sub2_encoded,Cluster
40.0,Yogyakarta,Bolen Daging & Martabak Kari,75,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,40.0,Dewasa Menengah (36-45),DIY,Premium (66-100k),5,0,8,1,1
44.0,Tarakan Kalimantan Utara,Bolen daging + martabak kari,75,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,44.0,Dewasa Menengah (36-45),Lainnya,Premium (66-100k),5,6,8,1,1
25.0,Jambi,"Bolen daging, martabak kari, minuman kekinian, donat",75,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,25.0,Dewasa Muda (18-25),Lainnya,Premium (66-100k),5,6,8,1,1
19.0,Jambi,Bread class + martabak kari,90,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,19.0,Dewasa Muda (18-25),Lainnya,Premium (66-100k),5,6,8,1,1
30.0,"Lhokseumawe, Aceh",Bread Class dan Martabak Kari,90,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,30.0,Dewasa (26-35),Lainnya,Premium (66-100k),5,6,8,1,1
29.0,Mojokerto,Class Hijab,120,Fashion,Busana Keluarga,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY",29.0,Dewasa (26-35),Jawa Timur,Luxury (>100k),3,4,0,1,2
41.0,Tambun Bekasi,Class Hijab,120,Fashion,Busana Keluarga,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY",41.0,Dewasa Menengah (36-45),Jabodetabek,Luxury (>100k),3,1,0,1,2
31.0,Bandung,Coloring Class,50,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,31.0,Dewasa (26-35),Jawa Barat,Standard (31-65k),4,2,9,3,1
9.0,Bone,Coloring Class,50,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,9.0,Anak (≤12),Lainnya,Standard (31-65k),4,6,9,3,1
27.0,Tabalong,Coloring class,50,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,27.0,Dewasa (26-35),Lainnya,Standard (31-65k),4,6,9,3,1
29.0,Kendari,Coloring Class ,50,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,29.0,Dewasa (26-35),Sulawesi,Standard (31-65k),4,8,9,3,1
10.0,Muna Sulteng,Coloring Class ,50,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,10.0,Anak (≤12),Lainnya,Standard (31-65k),4,6,9,3,1
7.0,Ambon,Coloring Class ,50,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,7.0,Anak (≤12),Maluku,Standard (31-65k),4,7,9,3,1
48.0,Bekasi,Coloring Class ,50,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,48.0,Dewasa Tua (>45),Jabodetabek,Standard (31-65k),4,1,9,3,1
43.0,Pangkep Sulsel,Coloring Class ,50,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,43.0,Dewasa Menengah (36-45),Lainnya,Standard (31-65k),4,6,9,3,1
7.5,Jakarta,Coloring Class ,50,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,7.5,Anak (≤12),Jabodetabek,Standard (31-65k),4,1,9,3,1
48.0,Ambon,Coloring Class ,50,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,48.0,Dewasa Tua (>45),Maluku,Standard (31-65k),4,7,9,3,1
9.0,Magelang,Coloring Class ,50,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,9.0,Anak (≤12),Jawa Tengah,Standard (31-65k),4,3,9,3,1
5.0,Magetan,Coloring Class ,50,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,5.0,Anak (≤12),Lainnya,Standard (31-65k),4,6,9,3,1
39.0,Indramayu ,Coloring Class ,50,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,39.0,Dewasa Menengah (36-45),Lainnya,Standard (31-65k),4,6,9,3,1
43.0,Majalengka ,Coloring Class ,50,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,43.0,Dewasa Menengah (36-45),Lainnya,Standard (31-65k),4,6,9,3,1
34.0,Depok,Coloring Class ,50,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,34.0,Dewasa (26-35),Jabodetabek,Standard (31-65k),4,1,9,3,1
35.0,Semarang ,Coloring Class ,50,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,35.0,Dewasa (26-35),Jawa Tengah,Standard (31-65k),4,3,9,3,1
11.0,Sampit Kalteng,Coloring Class ,50,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,11.0,Anak (≤12),Lainnya,Standard (31-65k),4,6,9,3,1
11.0,Malang,Coloring Class ,50,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,11.0,Anak (≤12),Jawa Timur,Standard (31-65k),4,4,9,3,1
7.0,Malang,Coloring Class ,50,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,7.0,Anak (≤12),Jawa Timur,Standard (31-65k),4,4,9,3,1
39.0,Banyumas ,Coloring Class ,50,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,39.0,Dewasa Menengah (36-45),Lainnya,Standard (31-65k),4,6,9,3,1
7.0,Lombok Tengah ,Coloring Class ,50,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,7.0,Anak (≤12),Lainnya,Standard (31-65k),4,6,9,3,1
23.0,Pangkal Raya Kalimantan Tengah,Coloring Class ,50,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,23.0,Dewasa Muda (18-25),Lainnya,Standard (31-65k),4,6,9,3,1
9.0,Kaltim ,Coloring Class ,50,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,9.0,Anak (≤12),Kalimantan Timur,Standard (31-65k),4,5,9,3,1
8.0,Sewon Bantul,Coloring Class ,50,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,8.0,Anak (≤12),DIY,Standard (31-65k),4,0,9,3,1
8.0,Muna Sulawesi Tenggara ,Coloring class (privat) + Drawing Junior (grup),50,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,8.0,Anak (≤12),Lainnya,Standard (31-65k),4,6,9,3,1
7.0,Tabalong ,Coloring Class + Drawing junior ,50,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,7.0,Anak (≤12),Lainnya,Standard (31-65k),4,6,9,3,1
6.0,Yogya,Coloring class privat,50,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,6.0,Anak (≤12),DIY,Standard (31-65k),4,0,9,3,1
43.0,Bekasi,Desai privat #17,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,43.0,Dewasa Menengah (36-45),Jabodetabek,Standard (31-65k),4,1,4,1,1
24.0,Wonogiri,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,24.0,Dewasa Muda (18-25),Jawa Tengah,Standard (31-65k),4,3,4,1,1
34.0,Sidoarjo,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,34.0,Dewasa (26-35),Jawa Timur,Standard (31-65k),4,4,4,1,1
23.0,Surabaya,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,23.0,Dewasa Muda (18-25),Jawa Timur,Standard (31-65k),4,4,4,1,1
48.0,Banyumas,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,48.0,Dewasa Tua (>45),Lainnya,Standard (31-65k),4,6,4,1,1
27.0,Semarang,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,27.0,Dewasa (26-35),Jawa Tengah,Standard (31-65k),4,3,4,1,1
39.0,Cilacap,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,39.0,Dewasa Menengah (36-45),Jawa Tengah,Standard (31-65k),4,3,4,1,1
42.0,Jakarta,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,42.0,Dewasa Menengah (36-45),Jabodetabek,Standard (31-65k),4,1,4,1,1
26.0,Pemalang Jawa Tengah,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,26.0,Dewasa (26-35),Jawa Timur,Standard (31-65k),4,4,4,1,1
41.0,Magetan,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,41.0,Dewasa Menengah (36-45),Lainnya,Standard (31-65k),4,6,4,1,1
38.0,Purwokerto,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,38.0,Dewasa Menengah (36-45),Lainnya,Standard (31-65k),4,6,4,1,1
22.0,Ngawi,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,22.0,Dewasa Muda (18-25),Jawa Timur,Standard (31-65k),4,4,4,1,1
40.0,Nganjuk,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,40.0,Dewasa Menengah (36-45),Lainnya,Standard (31-65k),4,6,4,1,1
39.0,Kalimantan Tengah,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,39.0,Dewasa Menengah (36-45),Lainnya,Standard (31-65k),4,6,4,1,1
41.0,Magelang,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,41.0,Dewasa Menengah (36-45),Jawa Tengah,Standard (31-65k),4,3,4,1,1
27.0,Asahan,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,27.0,Dewasa (26-35),Lainnya,Standard (31-65k),4,6,4,1,1
42.0,Temanggung,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,42.0,Dewasa Menengah (36-45),Jawa Tengah,Standard (31-65k),4,3,4,1,1
21.0,Batam,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,21.0,Dewasa Muda (18-25),Lainnya,Standard (31-65k),4,6,4,1,1
40.0,Karawang,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,40.0,Dewasa Menengah (36-45),Lainnya,Standard (31-65k),4,6,4,1,1
31.0,Yogyakarta,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,31.0,Dewasa (26-35),DIY,Standard (31-65k),4,0,4,1,1
37.0,Pemalang,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,37.0,Dewasa Menengah (36-45),Jawa Timur,Standard (31-65k),4,4,4,1,1
46.0,Pemalang,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,46.0,Dewasa Tua (>45),Jawa Timur,Standard (31-65k),4,4,4,1,1
45.0,Banjarnegara,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,45.0,Dewasa Menengah (36-45),Lainnya,Standard (31-65k),4,6,4,1,1
38.0,Pemalang,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,38.0,Dewasa Menengah (36-45),Jawa Timur,Standard (31-65k),4,4,4,1,1
50.0,Bogor,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,50.0,Dewasa Tua (>45),Jabodetabek,Standard (31-65k),4,1,4,1,1
33.0,Purbalingga,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,33.0,Dewasa (26-35),Jawa Tengah,Standard (31-65k),4,3,4,1,1
42.0,Banjarnegara,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,42.0,Dewasa Menengah (36-45),Lainnya,Standard (31-65k),4,6,4,1,1
46.0,Purbalingga,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,46.0,Dewasa Tua (>45),Jawa Tengah,Standard (31-65k),4,3,4,1,1
44.0,Brebes,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,44.0,Dewasa Menengah (36-45),Lainnya,Standard (31-65k),4,6,4,1,1
27.0,Kutai Timur,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,27.0,Dewasa (26-35),Lainnya,Standard (31-65k),4,6,4,1,1
38.0,Pangkalan bun,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,38.0,Dewasa Menengah (36-45),Lainnya,Standard (31-65k),4,6,4,1,1
34.0,Nunukan,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,,Anak/Tidak Diketahui,Lainnya,Standard (31-65k),4,6,4,1,1
42.0,Bogor,Desain basic,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY",42.0,Dewasa Menengah (36-45),Jabodetabek,Standard (31-65k),4,1,4,2,1
26.0,Pemalang,Desain basic,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY",26.0,Dewasa (26-35),Jawa Timur,Standard (31-65k),4,4,4,2,1
18.0,Samarinda,Desain Basic,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY",18.0,Dewasa Muda (18-25),Kalimantan Timur,Standard (31-65k),4,5,4,2,1
39.0,Situbondo,Desain basic,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY",39.0,Dewasa Menengah (36-45),Lainnya,Standard (31-65k),4,6,4,2,1
42.0,Karanganyar,Desain basic,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY",42.0,Dewasa Menengah (36-45),Jawa Tengah,Standard (31-65k),4,3,4,2,1
26.0,Palu,Desain basic #16,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY",26.0,Dewasa (26-35),Lainnya,Standard (31-65k),4,6,4,2,1
35.0,Pare-pare Sulsel,Desain dasar + lanjutan,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY",35.0,Dewasa (26-35),Lainnya,Standard (31-65k),4,6,4,2,1
11.0,Pangkalpinang,Desain dasar + lanjutan,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY",11.0,Anak (≤12),Lainnya,Standard (31-65k),4,6,4,2,1
25.0,Medan,Desain Lanjutan,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY",25.0,Dewasa Muda (18-25),Lainnya,Standard (31-65k),4,6,4,2,1
27.0,Banggai,Desain Lanjutan,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY",27.0,Dewasa (26-35),Lainnya,Standard (31-65k),4,6,4,2,1
31.0,Malang,Desain Lanjutan,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY",31.0,Dewasa (26-35),Jawa Timur,Standard (31-65k),4,4,4,2,1
39.0,Situbondo,Desain Lanjutan,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY",39.0,Dewasa Menengah (36-45),Lainnya,Standard (31-65k),4,6,4,2,1
19.0,Semarang,Desain Lanjutan,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY",19.0,Dewasa Muda (18-25),Jawa Tengah,Standard (31-65k),4,3,4,2,1
29.0,Pringsewu,Desain Lanjutan,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY",29.0,Dewasa (26-35),Lainnya,Standard (31-65k),4,6,4,2,1
29.0,Bogor,Desain Lanjutan,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY",29.0,Dewasa (26-35),Jabodetabek,Standard (31-65k),4,1,4,2,1
49.0,Bogor,Desain Lanjutan,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY",49.0,Dewasa Tua (>45),Jabodetabek,Standard (31-65k),4,1,4,2,1
43.0,Mataram,Desain Lanjutan,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY",43.0,Dewasa Menengah (36-45),Lainnya,Standard (31-65k),4,6,4,2,1
29.0,Bandung,Desain Lanjutan,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY",29.0,Dewasa (26-35),Jawa Barat,Standard (31-65k),4,2,4,2,1
28.0,Kutai Timur,Desain Lanjutan,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY",28.0,Dewasa (26-35),Lainnya,Standard (31-65k),4,6,4,2,1
20.0,Banyumas,Desain Lanjutan,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY",20.0,Dewasa Muda (18-25),Lainnya,Standard (31-65k),4,6,4,2,1
43.0,Jakarta,Desain lanjutan #16,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY",43.0,Dewasa Menengah (36-45),Jabodetabek,Standard (31-65k),4,1,4,2,1
25.0,Kalimantan Timur ,Desain privat #14,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY",25.0,Dewasa Muda (18-25),Lainnya,Standard (31-65k),4,6,4,2,1
19.0,Pekanbaru,Desain privat #14,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY",19.0,Dewasa Muda (18-25),Lainnya,Standard (31-65k),4,6,4,2,1
24.0,Kuningan,Desain privat #14,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY",24.0,Dewasa Muda (18-25),Jawa Barat,Standard (31-65k),4,2,4,2,1
21.0,Semarang,Desain privat #14,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY",21.0,Dewasa Muda (18-25),Jawa Tengah,Standard (31-65k),4,3,4,2,1
25.0,Jambi,Desain privat #14,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY",25.0,Dewasa Muda (18-25),Lainnya,Standard (31-65k),4,6,4,2,1
35.0,Jatim,Desain privat #14,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY",35.0,Dewasa (26-35),Lainnya,Standard (31-65k),4,6,4,2,1
29.0,Jember,Desain privat #14,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY",29.0,Dewasa (26-35),Jawa Timur,Standard (31-65k),4,4,4,2,1
42.0,Tangerang,Desain PRIVAT #14,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY",42.0,Dewasa Menengah (36-45),Jabodetabek,Standard (31-65k),4,1,4,2,1
24.0,Oku timur,Desain privat #14,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY",24.0,Dewasa Muda (18-25),Lainnya,Standard (31-65k),4,6,4,2,1
28.0,Sidoarjo,Desain privat #14,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY",28.0,Dewasa (26-35),Jawa Timur,Standard (31-65k),4,4,4,2,1
19.0,Purbalingga,Desain privat #14,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY",19.0,Dewasa Muda (18-25),Jawa Tengah,Standard (31-65k),4,3,4,2,1
18.0,Trenggalek,Desain privat #14,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY",18.0,Dewasa Muda (18-25),Lainnya,Standard (31-65k),4,6,4,2,1
27.0,Kutai Timur,Desain privat #17,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY",27.0,Dewasa (26-35),Lainnya,Standard (31-65k),4,6,4,2,1
30.0,Cilacap,Desain privat #17,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY",30.0,Dewasa (26-35),Jawa Tengah,Standard (31-65k),4,3,4,2,1
42.0,Soppeng,Desain privat #17,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY",42.0,Dewasa Menengah (36-45),Lainnya,Standard (31-65k),4,6,4,2,1
27.0,Samarinda,Desain privat #17,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY",27.0,Dewasa (26-35),Kalimantan Timur,Standard (31-65k),4,5,4,2,1
23.0,Lombok Timur,Desain privat #17,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY",23.0,Dewasa Muda (18-25),Lainnya,Standard (31-65k),4,6,4,2,1
33.0,Purbalingga,Desain privat #17,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY",33.0,Dewasa (26-35),Jawa Tengah,Standard (31-65k),4,3,4,2,1
44.0,Kalbar,Desain privat #17,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY",44.0,Dewasa Menengah (36-45),Lainnya,Standard (31-65k),4,6,4,2,1
30.0,Sukoharjo,Desain privat #17,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY",30.0,Dewasa (26-35),Jawa Tengah,Standard (31-65k),4,3,4,2,1
39.0,Lampung,Desain privat #17,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY",39.0,Dewasa Menengah (36-45),Lainnya,Standard (31-65k),4,6,4,2,1
41.0,Lombok Tengah,Desain privat #17,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY",41.0,Dewasa Menengah (36-45),Lainnya,Standard (31-65k),4,6,4,2,1
32.0,Kulonprogo,Desain program dasar & lanjutan,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY",32.0,Dewasa (26-35),Lainnya,Standard (31-65k),4,6,4,2,1
20.0,Boyolali,Desain sabiya cetak,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY",20.0,Dewasa Muda (18-25),Lainnya,Standard (31-65k),4,6,4,2,1
24.0,Banyumas,Desain undangan,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY",24.0,Dewasa Muda (18-25),Lainnya,Standard (31-65k),4,6,4,2,1
19.0,Trenggalek,Desain undangan,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY",19.0,Dewasa Muda (18-25),Lainnya,Standard (31-65k),4,6,4,2,1
27.0,Karanganyar,Desain undangan,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY",27.0,Dewasa (26-35),Jawa Tengah,Standard (31-65k),4,3,4,2,1
